collection,id,original_tokens,summary_tokens,compression_ratio,labels
case,C29,1898,327,0.17228661749209695,"civil_procedure,statutory_interpretation,property_law,contract_law"
case,C30,6939,529,0.07623576884277274,"administrative_law,statutory_interpretation,service_law,contract_law"
case,C31,449,185,0.41202672605790647,"criminal_law,statutory_interpretation,civil_procedure"
case,C32,5578,621,0.11133022588741484,"criminal_law,civil_procedure,statutory_interpretation"
case,C33,3888,465,0.11959876543209877,"administrative_law,statutory_interpretation,criminal_law,writ_jurisdiction"
case,C34,4580,418,0.09126637554585153,"evidence_law,statutory_interpretation,criminal_law,administrative_law"
case,C35,5801,357,0.06154111360110326,"criminal_law,statutory_interpretation,civil_procedure,evidence_law"
case,C36,2176,225,0.10340073529411764,"criminal_law,statutory_interpretation,civil_procedure"
case,C37,2636,492,0.18664643399089528,"administrative_law,family_law,writ_jurisdiction,civil_procedure"
case,C38,2287,371,0.16222125054656755,"labor_law,statutory_interpretation,service_law,evidence_law"
case,C39,5403,424,0.0784749213399963,"evidence_law,service_law,labor_law,civil_procedure"
case,C40,14648,737,0.05031403604587657,"service_law,statutory_interpretation,administrative_law,constitutional_law"
case,C41,1375,261,0.18981818181818183,"statutory_interpretation,property_law"
case,C42,4325,347,0.08023121387283237,"criminal_law,evidence_law,constitutional_law,civil_procedure"
case,C43,2772,300,0.10822510822510822,"evidence_law,criminal_law,administrative_law,statutory_interpretation"
case,C44,1154,321,0.2781629116117851,"civil_procedure,statutory_interpretation,contract_law"
case,C45,1567,372,0.23739629865985962,"criminal_law,evidence_law,statutory_interpretation"
case,C46,1330,344,0.2586466165413534,"criminal_law,statutory_interpretation,evidence_law,civil_procedure"
case,C47,3679,326,0.08861103560750204,"criminal_law,evidence_law,civil_procedure"
case,C48,7908,417,0.05273141122913505,"statutory_interpretation,property_law,administrative_law,constitutional_law"
case,C49,1124,232,0.20640569395017794,"administrative_law,writ_jurisdiction,civil_procedure,constitutional_law"
case,C50,1911,322,0.1684981684981685,"criminal_law,statutory_interpretation,property_law,civil_procedure"
case,C51,1857,442,0.23801830910070004,"evidence_law,criminal_law,civil_procedure,constitutional_law"
case,C52,4257,381,0.08949964763918253,"criminal_law,statutory_interpretation,evidence_law"
case,C53,565,202,0.35752212389380533,"criminal_law,statutory_interpretation,evidence_law,civil_procedure"
case,C54,12936,489,0.03780148423005566,"criminal_law,statutory_interpretation,evidence_law,administrative_law"
case,C55,12724,437,0.03434454574033323,"administrative_law,service_law,constitutional_law,statutory_interpretation"
case,C56,1513,313,0.20687376074025116,"criminal_law,civil_procedure,evidence_law,statutory_interpretation"
case,C57,6222,509,0.0818064930890389,"administrative_law,constitutional_law,service_law,family_law"
case,C58,2329,343,0.1472735079433233,"criminal_law,evidence_law,civil_procedure,statutory_interpretation"
case,C59,6413,371,0.05785123966942149,"criminal_law,evidence_law,statutory_interpretation,civil_procedure"
case,C60,4624,546,0.11807958477508651,"tax_law,statutory_interpretation,contract_law,labor_law"
case,C61,2058,577,0.28036929057337223,"criminal_law,evidence_law,statutory_interpretation,civil_procedure"
case,C62,7308,499,0.06828133552271483,"criminal_law,evidence_law,family_law,tax_law"
case,C63,8069,809,0.10026025529805428,"criminal_law,civil_procedure,evidence_law,statutory_interpretation"
case,C64,4994,468,0.09371245494593512,"property_law,criminal_law,administrative_law,statutory_interpretation"
case,C65,496,291,0.5866935483870968,"civil_procedure,property_law,criminal_law"
case,C66,5574,504,0.09041980624327234,"criminal_law,evidence_law,civil_procedure,property_law"
case,C67,1307,302,0.23106350420811017,"administrative_law,criminal_law"
case,C68,3136,501,0.1597576530612245,"criminal_law,evidence_law,civil_procedure,statutory_interpretation"
case,C69,3024,407,0.1345899470899471,"criminal_law,administrative_law,labor_law,writ_jurisdiction"
case,C70,2832,236,0.08333333333333333,"statutory_interpretation,property_law,family_law,administrative_law"
case,C71,1891,354,0.1872025383395029,"criminal_law,evidence_law,civil_procedure,statutory_interpretation"
case,C72,2965,339,0.11433389544688027,"administrative_law,statutory_interpretation,property_law,civil_procedure"
case,C73,7990,415,0.05193992490613267,"administrative_law,criminal_law,statutory_interpretation,constitutional_law"
case,C74,1798,244,0.135706340378198,"criminal_law,evidence_law,civil_procedure,statutory_interpretation"
case,C75,3940,433,0.10989847715736041,"evidence_law,criminal_law,statutory_interpretation"
case,C76,876,520,0.593607305936073,"criminal_law,labor_law,civil_procedure,service_law"
case,C77,9304,502,0.053955288048151334,"criminal_law,statutory_interpretation,evidence_law,administrative_law"
case,C78,2332,273,0.11706689536878216,"statutory_interpretation,evidence_law,criminal_law,family_law"
case,C79,173,218,1.260115606936416,"criminal_law,civil_procedure,evidence_law"
case,C80,6430,508,0.07900466562986003,"criminal_law,evidence_law,statutory_interpretation"
case,C81,1635,431,0.2636085626911315,"criminal_law,statutory_interpretation,evidence_law,administrative_law"
case,C82,987,285,0.2887537993920973,"administrative_law,criminal_law,statutory_interpretation,civil_procedure"
case,C83,2175,353,0.16229885057471263,"criminal_law,evidence_law,civil_procedure,statutory_interpretation"
case,C84,9653,596,0.06174246348285507,"property_law,statutory_interpretation,evidence_law,civil_procedure"
case,C85,800,571,0.71375,"administrative_law,writ_jurisdiction,statutory_interpretation"
case,C86,2616,509,0.19457186544342508,"criminal_law,civil_procedure,evidence_law,statutory_interpretation"
case,C87,1664,315,0.1893028846153846,"contract_law,civil_procedure,administrative_law,criminal_law"
case,C88,580,226,0.3896551724137931,"statutory_interpretation,administrative_law,civil_procedure"
case,C89,3352,400,0.11933174224343675,"criminal_law,evidence_law,statutory_interpretation,civil_procedure"
case,C90,4866,414,0.08508014796547472,"civil_procedure,criminal_law,constitutional_law,administrative_law"
case,C91,3050,468,0.15344262295081967,"administrative_law,statutory_interpretation,tax_law,civil_procedure"
case,C92,449,194,0.43207126948775054,"service_law,criminal_law,labor_law,constitutional_law"
case,C93,2231,321,0.14388166741371583,"civil_procedure,statutory_interpretation,property_law,criminal_law"
case,C94,2670,464,0.17378277153558053,"statutory_interpretation,criminal_law,evidence_law,civil_procedure"
case,C95,7312,561,0.07672319474835886,"evidence_law,criminal_law,civil_procedure,administrative_law"
case,C96,3604,376,0.10432852386237514,"statutory_interpretation,criminal_law,evidence_law,civil_procedure"
case,C97,1243,251,0.20193081255028159,"criminal_law,evidence_law,statutory_interpretation,civil_procedure"
case,C98,3327,309,0.09287646528403967,"criminal_law,statutory_interpretation"
case,C99,4443,205,0.04613999549853703,"criminal_law,evidence_law,administrative_law"
case,C100,5490,491,0.08943533697632058,"criminal_law,evidence_law,statutory_interpretation,contract_law"
case,C101,34202,596,0.017425881527396058,"statutory_interpretation,administrative_law,labor_law,civil_procedure"
case,C102,4798,489,0.10191746561067111,"administrative_law,service_law,statutory_interpretation,labor_law"
case,C103,6145,648,0.10545158665581773,"criminal_law,statutory_interpretation,administrative_law,constitutional_law"
case,C104,3491,555,0.1589802348897164,"criminal_law,evidence_law,statutory_interpretation"
case,C105,5416,405,0.07477843426883309,"writ_jurisdiction,administrative_law,criminal_law,statutory_interpretation"
case,C106,3562,360,0.10106681639528355,"criminal_law,evidence_law,family_law"
case,C107,938,251,0.267590618336887,"criminal_law,civil_procedure"
case,C108,6154,685,0.11130971725706858,"statutory_interpretation,administrative_law,service_law,evidence_law"
case,C109,5588,367,0.06567644953471725,"criminal_law,statutory_interpretation,evidence_law,administrative_law"
case,C110,1522,421,0.27660972404730616,"statutory_interpretation,contract_law,civil_procedure,administrative_law"
case,C111,1841,237,0.1287343834872352,"administrative_law,service_law,civil_procedure,labor_law"
case,C112,416,155,0.37259615384615385,"civil_procedure,service_law"
case,C113,2380,458,0.19243697478991598,"service_law,constitutional_law,labor_law,writ_jurisdiction"
case,C114,998,377,0.3777555110220441,"writ_jurisdiction,administrative_law,constitutional_law,civil_procedure"
case,C115,9028,540,0.05981391227292867,"contract_law,property_law,civil_procedure,statutory_interpretation"
case,C116,1073,257,0.23951537744641194,"civil_procedure,contract_law,statutory_interpretation,evidence_law"
case,C117,3187,435,0.13649199874490117,"criminal_law,evidence_law,family_law,statutory_interpretation"
case,C118,491,387,0.7881873727087576,"civil_procedure,criminal_law,evidence_law,statutory_interpretation"
case,C119,7114,433,0.060865898228844535,"criminal_law,evidence_law,family_law,administrative_law"
case,C120,1671,359,0.21484141232794735,"service_law,constitutional_law,administrative_law,statutory_interpretation"
case,C121,2447,272,0.1111565181855333,"criminal_law,statutory_interpretation,civil_procedure"
case,C122,1203,301,0.2502078137988362,"criminal_law,statutory_interpretation,evidence_law,civil_procedure"
case,C123,1737,276,0.15889464594127806,"criminal_law,statutory_interpretation,evidence_law,civil_procedure"
case,C124,3325,545,0.16390977443609023,"criminal_law,evidence_law,statutory_interpretation,civil_procedure"
case,C125,2874,429,0.14926931106471816,"tax_law,statutory_interpretation,evidence_law,administrative_law"
case,C126,4852,431,0.08882934872217642,"service_law,administrative_law,statutory_interpretation,constitutional_law"
case,C127,3650,599,0.16410958904109588,"criminal_law,civil_procedure,statutory_interpretation,constitutional_law"
case,C128,16541,794,0.04800193458678435,"criminal_law,evidence_law,administrative_law,statutory_interpretation"
case,C129,2928,388,0.1325136612021858,"administrative_law,constitutional_law"
case,C130,1465,354,0.2416382252559727,"administrative_law,criminal_law,statutory_interpretation,evidence_law"
case,C131,3327,378,0.11361587015329125,"administrative_law,constitutional_law,writ_jurisdiction,statutory_interpretation"
case,C132,3772,594,0.1574761399787911,"administrative_law,statutory_interpretation,tax_law,writ_jurisdiction"
case,C133,1287,305,0.236985236985237,"civil_procedure,contract_law,property_law"
case,C134,3602,271,0.07523598001110494,"evidence_law,criminal_law,statutory_interpretation,civil_procedure"
case,C135,1481,360,0.24307900067521945,"service_law,administrative_law,statutory_interpretation,evidence_law"
case,C136,4976,699,0.1404742765273312,"administrative_law,statutory_interpretation,criminal_law,family_law"
case,C137,3635,525,0.14442916093535077,"criminal_law,evidence_law,civil_procedure,statutory_interpretation"
case,C138,2162,420,0.1942645698427382,"criminal_law,evidence_law,statutory_interpretation,civil_procedure"
case,C139,2813,406,0.14432989690721648,"criminal_law,evidence_law,statutory_interpretation,civil_procedure"
case,C140,5188,398,0.07671549730146492,"evidence_law,criminal_law,statutory_interpretation,contract_law"
case,C141,17930,841,0.04690462911321807,"administrative_law,criminal_law,statutory_interpretation,evidence_law"
case,C142,4092,571,0.13954056695992179,"evidence_law,criminal_law,civil_procedure"
case,C143,21616,1058,0.04894522575869726,"administrative_law,criminal_law,constitutional_law,statutory_interpretation"
case,C144,4097,331,0.08079082255308763,"criminal_law,statutory_interpretation"
case,C145,1972,352,0.17849898580121704,"administrative_law,constitutional_law,statutory_interpretation,civil_procedure"
case,C146,2256,390,0.17287234042553193,"criminal_law,evidence_law"
case,C147,1432,347,0.24231843575418993,"criminal_law,evidence_law,civil_procedure"
case,C148,384,163,0.4244791666666667,"criminal_law,civil_procedure,evidence_law,statutory_interpretation"
case,C149,5711,561,0.0982314831027841,"statutory_interpretation,administrative_law,property_law,civil_procedure"
case,C150,1425,341,0.2392982456140351,"criminal_law,statutory_interpretation,civil_procedure,property_law"
case,C151,4017,327,0.08140403286034353,"criminal_law,administrative_law,constitutional_law,statutory_interpretation"
case,C152,2639,483,0.1830238726790451,"criminal_law,statutory_interpretation,contract_law,evidence_law"
case,C153,1273,316,0.24823252160251374,"statutory_interpretation,civil_procedure,labor_law,administrative_law"
case,C154,2829,389,0.1375044185224461,"criminal_law,statutory_interpretation,evidence_law,civil_procedure"
case,C155,4611,506,0.10973758403816959,"criminal_law,statutory_interpretation"
case,C156,4333,283,0.06531271636279713,"criminal_law,evidence_law,civil_procedure"
case,C157,11715,599,0.05113102859581733,"constitutional_law,criminal_law,statutory_interpretation,administrative_law"
case,C158,1684,359,0.21318289786223277,"administrative_law,writ_jurisdiction,constitutional_law,criminal_law"
case,C159,9571,389,0.0406436109079511,"criminal_law,evidence_law,statutory_interpretation,civil_procedure"
case,C160,1723,370,0.2147417295414974,"service_law,administrative_law,statutory_interpretation,civil_procedure"
case,C161,3255,479,0.14715821812596006,"administrative_law,statutory_interpretation,constitutional_law,tax_law"
case,C162,14527,634,0.04364287189371515,"administrative_law,statutory_interpretation,criminal_law,constitutional_law"
case,C163,4101,386,0.09412338454035601,"criminal_law,evidence_law,statutory_interpretation,administrative_law"
case,C164,1460,301,0.20616438356164385,"statutory_interpretation,criminal_law,evidence_law"
case,C165,1419,326,0.22973925299506695,"constitutional_law,administrative_law,criminal_law,statutory_interpretation"
case,C166,1540,203,0.1318181818181818,"criminal_law,evidence_law"
case,C167,2819,350,0.12415750266051792,"criminal_law,evidence_law,civil_procedure,statutory_interpretation"
case,C168,2811,347,0.12344361437210957,"evidence_law,criminal_law,civil_procedure"
case,C169,40518,632,0.015598005824571796,"evidence_law,criminal_law,family_law,statutory_interpretation"
case,C170,3396,524,0.15429917550058891,"criminal_law,administrative_law,evidence_law"
case,C171,2794,278,0.09949892627057981,"criminal_law,statutory_interpretation"
case,C172,7547,649,0.08599443487478468,"administrative_law,statutory_interpretation,service_law,contract_law"
case,C173,3021,436,0.1443230718305197,"criminal_law,evidence_law,statutory_interpretation,civil_procedure"
case,C174,7839,464,0.059191223370327846,"labor_law,administrative_law,evidence_law,statutory_interpretation"
case,C175,3806,744,0.19548081975827641,"statutory_interpretation,administrative_law,constitutional_law,tax_law"
case,C176,1607,292,0.18170504044803984,"criminal_law,civil_procedure,evidence_law,statutory_interpretation"
case,C177,13470,701,0.05204157386785449,"statutory_interpretation,administrative_law,contract_law,civil_procedure"
case,C178,3136,404,0.1288265306122449,"criminal_law,evidence_law,statutory_interpretation,family_law"
case,C179,1941,308,0.1586810922205049,"statutory_interpretation,contract_law,labor_law"
case,C180,5468,578,0.10570592538405267,"criminal_law,evidence_law,civil_procedure"
case,C181,3958,422,0.10661950480040425,"statutory_interpretation,property_law,writ_jurisdiction,administrative_law"
case,C182,8714,490,0.05623135184760156,"criminal_law,statutory_interpretation,contract_law,administrative_law"
case,C183,7669,535,0.06976137697222584,"contract_law,administrative_law,statutory_interpretation,civil_procedure"
case,C184,1437,333,0.23173277661795408,"criminal_law,statutory_interpretation,civil_procedure"
case,C185,5014,584,0.11647387315516554,"criminal_law,evidence_law,statutory_interpretation,civil_procedure"
case,C186,3699,452,0.12219518788861855,"criminal_law,evidence_law,statutory_interpretation,administrative_law"
case,C187,3964,447,0.1127648839556004,"evidence_law,criminal_law,civil_procedure,property_law"
case,C188,8010,536,0.06691635455680399,"property_law,statutory_interpretation,contract_law,civil_procedure"
case,C189,9752,371,0.03804347826086957,"administrative_law,contract_law,labor_law,constitutional_law"
case,C190,944,313,0.3315677966101695,"criminal_law,civil_procedure"
case,C191,4077,664,0.16286485160657346,"criminal_law,statutory_interpretation,constitutional_law,writ_jurisdiction"
case,C192,993,266,0.2678751258811682,"evidence_law,criminal_law,civil_procedure"
case,C193,457,190,0.41575492341356673,"civil_procedure,criminal_law,statutory_interpretation,constitutional_law"
case,C194,8053,526,0.06531727306593815,"administrative_law,constitutional_law,statutory_interpretation,service_law"
case,C195,950,328,0.3452631578947368,"statutory_interpretation,writ_jurisdiction,constitutional_law,administrative_law"
case,C196,3212,573,0.17839352428393523,"statutory_interpretation,administrative_law,constitutional_law,service_law"
case,C197,934,283,0.3029978586723769,"criminal_law,statutory_interpretation,civil_procedure"
case,C198,903,236,0.26135105204872644,"criminal_law,civil_procedure,evidence_law"
case,C199,5323,556,0.1044523764794289,"contract_law,writ_jurisdiction,constitutional_law,administrative_law"
case,C200,2390,711,0.297489539748954,"criminal_law,evidence_law,family_law,property_law"
case,C201,7322,481,0.06569243376126742,"evidence_law,criminal_law,administrative_law,statutory_interpretation"
case,C202,2327,509,0.21873657069187796,"criminal_law,evidence_law,statutory_interpretation"
case,C203,3265,363,0.1111791730474732,"criminal_law,evidence_law,statutory_interpretation,civil_procedure"
case,C204,7152,552,0.07718120805369127,"statutory_interpretation,labor_law,service_law,civil_procedure"
case,C205,1923,298,0.15496619864794592,"criminal_law,statutory_interpretation,evidence_law,civil_procedure"
case,C206,1126,315,0.2797513321492007,"criminal_law,evidence_law,civil_procedure"
case,C207,3378,392,0.11604499703966845,"civil_procedure,evidence_law,property_law,family_law"
case,C208,1525,389,0.25508196721311477,"civil_procedure,property_law,statutory_interpretation,tax_law"
case,C209,3643,311,0.08536920120779577,"criminal_law,evidence_law,civil_procedure"
case,C210,2858,591,0.20678796361091673,"criminal_law,statutory_interpretation,family_law,evidence_law"
case,C211,6034,501,0.08302949950281736,"criminal_law,evidence_law,family_law,civil_procedure"
case,C212,1563,333,0.21305182341650672,"criminal_law,family_law,civil_procedure,statutory_interpretation"
case,C213,1489,281,0.18871725990597715,"contract_law,constitutional_law,administrative_law,service_law"
case,C214,1585,315,0.19873817034700317,"administrative_law,civil_procedure,constitutional_law,property_law"
case,C215,1487,288,0.1936785474108944,"criminal_law,evidence_law,civil_procedure"
case,C216,613,264,0.43066884176182707,"criminal_law,civil_procedure,statutory_interpretation,evidence_law"
case,C217,938,353,0.3763326226012793,"criminal_law,civil_procedure"
case,C218,2944,279,0.09476902173913043,"service_law,statutory_interpretation,labor_law,constitutional_law"
case,C219,6406,661,0.10318451451763971,"service_law,statutory_interpretation,administrative_law"
case,C220,2895,242,0.08359240069084628,"criminal_law,evidence_law,statutory_interpretation,civil_procedure"
case,C221,2511,332,0.13221823974512145,"criminal_law,civil_procedure,contract_law"
case,C222,2281,585,0.256466462078036,"service_law,administrative_law,statutory_interpretation,family_law"
case,C223,2336,433,0.1853595890410959,"criminal_law,statutory_interpretation,evidence_law"
case,C224,560,283,0.5053571428571428,"criminal_law,statutory_interpretation,civil_procedure,evidence_law"
case,C225,5295,1043,0.19697828139754486,"statutory_interpretation,administrative_law,tax_law,constitutional_law"
case,C226,2367,379,0.1601182931981411,"criminal_law,civil_procedure,property_law,evidence_law"
case,C227,4011,770,0.19197207678883071,"criminal_law,evidence_law,civil_procedure,family_law"
case,C228,1529,366,0.2393721386527142,"criminal_law,statutory_interpretation,civil_procedure"
case,C229,11547,512,0.04434052134753615,"administrative_law,statutory_interpretation,labor_law,family_law"
case,C230,713,310,0.43478260869565216,"criminal_law,evidence_law,civil_procedure,family_law"
case,C231,4822,430,0.0891746163417669,"service_law,constitutional_law,statutory_interpretation,administrative_law"
case,C232,4287,508,0.11849778399813389,"criminal_law,statutory_interpretation,civil_procedure"
case,C233,849,226,0.2661955241460542,"criminal_law,statutory_interpretation,evidence_law,civil_procedure"
case,C234,5172,373,0.07211910286156226,"evidence_law,criminal_law,statutory_interpretation,property_law"
case,C235,1334,387,0.2901049475262369,"service_law,administrative_law,constitutional_law,statutory_interpretation"
case,C236,3736,531,0.1421306209850107,"statutory_interpretation,criminal_law,property_law,civil_procedure"
case,C237,2607,578,0.22171077867280398,"statutory_interpretation,criminal_law,administrative_law,property_law"
case,C238,4772,400,0.08382229673093043,"labor_law,administrative_law,statutory_interpretation,evidence_law"
case,C239,3606,432,0.11980033277870217,"statutory_interpretation,tax_law,property_law,constitutional_law"
case,C240,489,243,0.49693251533742333,"criminal_law,statutory_interpretation,evidence_law"
case,C241,9080,655,0.07213656387665199,"criminal_law,evidence_law,civil_procedure,contract_law"
case,C242,3073,342,0.11129189716889033,"criminal_law,evidence_law,statutory_interpretation,tax_law"
case,C243,13574,774,0.05702077501105054,"service_law,statutory_interpretation,constitutional_law,administrative_law"
case,C244,630,205,0.3253968253968254,"service_law,statutory_interpretation,constitutional_law,labor_law"
case,C245,12159,508,0.04177975162431121,"service_law,administrative_law,statutory_interpretation,labor_law"
case,C246,1634,469,0.28702570379436965,"statutory_interpretation,constitutional_law,administrative_law,criminal_law"
case,C247,8149,352,0.043195484108479565,"criminal_law,evidence_law,statutory_interpretation,civil_procedure"
case,C248,2216,559,0.25225631768953066,"civil_procedure,property_law,statutory_interpretation,constitutional_law"
case,C249,5313,385,0.07246376811594203,"criminal_law,evidence_law,civil_procedure"
case,C250,647,168,0.2596599690880989,"evidence_law,criminal_law,civil_procedure,contract_law"
case,C251,2407,328,0.13626921479019527,"criminal_law,evidence_law,civil_procedure"
case,C252,6106,356,0.05830330822142155,"statutory_interpretation,constitutional_law,administrative_law,civil_procedure"
case,C253,2432,546,0.22450657894736842,"administrative_law,property_law,statutory_interpretation,evidence_law"
case,C254,4445,394,0.08863892013498313,"criminal_law,evidence_law"
case,C255,3255,464,0.1425499231950845,"criminal_law,evidence_law,civil_procedure,statutory_interpretation"
case,C256,4752,731,0.15382996632996632,"statutory_interpretation,administrative_law,constitutional_law,writ_jurisdiction"
case,C257,1970,206,0.10456852791878173,"criminal_law,civil_procedure"
case,C258,7019,548,0.07807379968656504,"administrative_law,writ_jurisdiction,statutory_interpretation,constitutional_law"
case,C259,1384,435,0.3143063583815029,"criminal_law,statutory_interpretation,constitutional_law,administrative_law"
case,C260,3645,695,0.1906721536351166,"service_law,constitutional_law,statutory_interpretation,civil_procedure"
case,C261,2513,526,0.20931157978511739,"statutory_interpretation,civil_procedure,administrative_law,constitutional_law"
case,C262,1540,494,0.3207792207792208,"constitutional_law,administrative_law,statutory_interpretation,civil_procedure"
case,C263,824,371,0.45024271844660196,"constitutional_law,statutory_interpretation,civil_procedure,writ_jurisdiction"
case,C264,3344,619,0.18510765550239233,"statutory_interpretation,civil_procedure,evidence_law,constitutional_law"
case,C265,3704,328,0.08855291576673865,"criminal_law,evidence_law,civil_procedure"
case,C266,4748,571,0.12026116259477675,"tax_law,family_law,constitutional_law,statutory_interpretation"
case,C267,2047,339,0.16560820713238886,"criminal_law,administrative_law,statutory_interpretation,writ_jurisdiction"
case,C268,8703,794,0.09123290819257728,"statutory_interpretation,service_law,civil_procedure,constitutional_law"
case,C269,1400,231,0.165,"criminal_law,evidence_law,civil_procedure"
case,C270,5244,411,0.07837528604118993,"criminal_law,statutory_interpretation,evidence_law,administrative_law"
case,C271,4501,326,0.07242834925572095,"criminal_law,evidence_law"
case,C272,1269,440,0.3467297084318361,"tax_law,administrative_law,statutory_interpretation,civil_procedure"
case,C273,8241,474,0.05751729159082636,"administrative_law,statutory_interpretation,constitutional_law,service_law"
case,C274,2220,200,0.09009009009009009,"criminal_law,statutory_interpretation,civil_procedure"
case,C275,1515,400,0.264026402640264,"administrative_law,statutory_interpretation,civil_procedure,service_law"
case,C276,2992,369,0.12332887700534759,"statutory_interpretation,property_law,administrative_law,constitutional_law"
case,C277,683,234,0.34260614934114203,"statutory_interpretation,criminal_law,civil_procedure,constitutional_law"
case,C278,1621,290,0.17890191239975323,"service_law,administrative_law,statutory_interpretation,family_law"
case,C279,3097,663,0.2140781401356151,"administrative_law,service_law,statutory_interpretation,constitutional_law"
case,C280,1601,412,0.25733916302311055,"criminal_law,evidence_law,statutory_interpretation,civil_procedure"
case,C281,4095,368,0.08986568986568987,"statutory_interpretation,service_law,administrative_law,constitutional_law"
case,C282,1715,321,0.18717201166180758,"evidence_law,criminal_law,statutory_interpretation,civil_procedure"
case,C283,2616,333,0.12729357798165136,"criminal_law,evidence_law,statutory_interpretation"
case,C284,1953,242,0.12391193036354327,"criminal_law,statutory_interpretation"
case,C285,1624,438,0.2697044334975369,"property_law,civil_procedure,criminal_law,evidence_law"
case,C286,1943,387,0.19917653113741637,"statutory_interpretation,criminal_law,civil_procedure"
case,C287,6560,473,0.07210365853658536,"statutory_interpretation,property_law,administrative_law,civil_procedure"
case,C288,1052,215,0.20437262357414449,"criminal_law,evidence_law,statutory_interpretation,civil_procedure"
case,C289,1448,376,0.2596685082872928,"labor_law,writ_jurisdiction,constitutional_law"
case,C290,2773,433,0.1561485755499459,"administrative_law,service_law,constitutional_law,civil_procedure"
case,C291,2854,772,0.27049754730203224,"statutory_interpretation,property_law,civil_procedure,family_law"
case,C292,1291,278,0.21533694810224632,"evidence_law,criminal_law,civil_procedure,statutory_interpretation"
case,C293,256,194,0.7578125,"criminal_law,statutory_interpretation"
case,C294,1576,504,0.3197969543147208,"statutory_interpretation,criminal_law,administrative_law,civil_procedure"
case,C295,1147,231,0.2013949433304272,"criminal_law,statutory_interpretation,civil_procedure,evidence_law"
case,C296,2216,259,0.11687725631768953,"criminal_law,statutory_interpretation,evidence_law,civil_procedure"
case,C297,976,268,0.27459016393442626,"evidence_law,criminal_law,statutory_interpretation"
case,C298,3469,431,0.12424329778034016,"criminal_law,constitutional_law,statutory_interpretation,administrative_law"
case,C299,1750,369,0.21085714285714285,"administrative_law,criminal_law,statutory_interpretation,writ_jurisdiction"
case,C300,6413,784,0.12225167628255107,"criminal_law,property_law,evidence_law,civil_procedure"
case,C301,1350,326,0.2414814814814815,"criminal_law,statutory_interpretation,civil_procedure,constitutional_law"
case,C302,6934,478,0.06893567926160946,"tax_law,statutory_interpretation,administrative_law,family_law"
case,C303,3110,379,0.12186495176848874,"criminal_law,statutory_interpretation,evidence_law,civil_procedure"
case,C304,625,337,0.5392,"civil_procedure,constitutional_law,statutory_interpretation,writ_jurisdiction"
case,C305,514,175,0.3404669260700389,"civil_procedure,criminal_law,evidence_law,statutory_interpretation"
case,C306,2283,420,0.18396846254927726,"civil_procedure,administrative_law,statutory_interpretation,service_law"
case,C307,2705,200,0.07393715341959335,"criminal_law,evidence_law"
